,Playlist,Artista,Bytes,Nombre_Album,Formato,Genero
0,Music,AC/DC,11170334,For Those About To Rock We Salute You,MPEG audio file,Rock
1,Music,AC/DC,11170334,For Those About To Rock We Salute You,MPEG audio file,Rock
2,Heavy Metal Classic,AC/DC,11170334,For Those About To Rock We Salute You,MPEG audio file,Rock
3,Music,AC/DC,7636561,For Those About To Rock We Salute You,MPEG audio file,Rock
4,Music,AC/DC,7636561,For Those About To Rock We Salute You,MPEG audio file,Rock
5,Music,AC/DC,8611245,For Those About To Rock We Salute You,MPEG audio file,Rock
6,Music,AC/DC,8611245,For Those About To Rock We Salute You,MPEG audio file,Rock
7,Music,AC/DC,8596840,For Those About To Rock We Salute You,MPEG audio file,Rock
8,Music,AC/DC,8596840,For Those About To Rock We Salute You,MPEG audio file,Rock
9,Music,AC/DC,8817038,For Those About To Rock We Salute You,MPEG audio file,Rock
10,Music,AC/DC,8817038,For Those About To Rock We Salute You,MPEG audio file,Rock
11,Music,AC/DC,10847611,Let There Be Rock,MPEG audio file,Rock
12,Music,AC/DC,10847611,Let There Be Rock,MPEG audio file,Rock
13,Music,AC/DC,7032162,Let There Be Rock,MPEG audio file,Rock
14,Music,AC/DC,7032162,Let There Be Rock,MPEG audio file,Rock
15,Music,AC/DC,12021261,Let There Be Rock,MPEG audio file,Rock
16,Music,AC/DC,12021261,Let There Be Rock,MPEG audio file,Rock
17,Music,AC/DC,8776140,Let There Be Rock,MPEG audio file,Rock
18,Music,AC/DC,8776140,Let There Be Rock,MPEG audio file,Rock
19,Music,AC/DC,10617116,Let There Be Rock,MPEG audio file,Rock
20,Music,AC/DC,10617116,Let There Be Rock,MPEG audio file,Rock
21,Music,AC/DC,12066294,Let There Be Rock,MPEG audio file,Rock
22,Music,AC/DC,12066294,Let There Be Rock,MPEG audio file,Rock
23,Music,AC/DC,8331286,Let There Be Rock,MPEG audio file,Rock
24,Music,AC/DC,8331286,Let There Be Rock,MPEG audio file,Rock
25,Music,AC/DC,10547154,Let There Be Rock,MPEG audio file,Rock
26,Music,AC/DC,10547154,Let There Be Rock,MPEG audio file,Rock
27,Music,Adrian Leaper & Doreen de Feis,9273123,Górecki: Symphony No. 3,Protected AAC audio file,Classical
28,90’s Music,Adrian Leaper & Doreen de Feis,9273123,Górecki: Symphony No. 3,Protected AAC audio file,Classical
29,Music,Adrian Leaper & Doreen de Feis,9273123,Górecki: Symphony No. 3,Protected AAC audio file,Classical
30,Classical,Adrian Leaper & Doreen de Feis,9273123,Górecki: Symphony No. 3,Protected AAC audio file,Classical
31,Classical 101 - Deep Cuts,Adrian Leaper & Doreen de Feis,9273123,Górecki: Symphony No. 3,Protected AAC audio file,Classical
32,Music,Aerosmith,9719579,Big Ones,MPEG audio file,Rock
33,90’s Music,Aerosmith,9719579,Big Ones,MPEG audio file,Rock
34,Music,Aerosmith,9719579,Big Ones,MPEG audio file,Rock
35,Music,Aerosmith,10552051,Big Ones,MPEG audio file,Rock
36,90’s Music,Aerosmith,10552051,Big Ones,MPEG audio file,Rock
37,Music,Aerosmith,10552051,Big Ones,MPEG audio file,Rock
38,Music,Aerosmith,8675345,Big Ones,MPEG audio file,Rock
39,90’s Music,Aerosmith,8675345,Big Ones,MPEG audio file,Rock
40,Music,Aerosmith,8675345,Big Ones,MPEG audio file,Rock
41,Music,Aerosmith,10144730,Big Ones,MPEG audio file,Rock
42,90’s Music,Aerosmith,10144730,Big Ones,MPEG audio file,Rock
43,Music,Aerosmith,10144730,Big Ones,MPEG audio file,Rock
44,Music,Aerosmith,8679940,Big Ones,MPEG audio file,Rock
45,90’s Music,Aerosmith,8679940,Big Ones,MPEG audio file,Rock
46,Music,Aerosmith,8679940,Big Ones,MPEG audio file,Rock
47,Music,Aerosmith,10869391,Big Ones,MPEG audio file,Rock
48,90’s Music,Aerosmith,10869391,Big Ones,MPEG audio file,Rock
49,Music,Aerosmith,10869391,Big Ones,MPEG audio file,Rock
50,Music,Aerosmith,10056995,Big Ones,MPEG audio file,Rock
51,90’s Music,Aerosmith,10056995,Big Ones,MPEG audio file,Rock
52,Music,Aerosmith,10056995,Big Ones,MPEG audio file,Rock
53,Music,Aerosmith,11616195,Big Ones,MPEG audio file,Rock
54,90’s Music,Aerosmith,11616195,Big Ones,MPEG audio file,Rock
55,Music,Aerosmith,11616195,Big Ones,MPEG audio file,Rock
56,Music,Aerosmith,7877453,Big Ones,MPEG audio file,Rock
57,90’s Music,Aerosmith,7877453,Big Ones,MPEG audio file,Rock
58,Music,Aerosmith,7877453,Big Ones,MPEG audio file,Rock
59,Music,Aerosmith,7074167,Big Ones,MPEG audio file,Rock
60,90’s Music,Aerosmith,7074167,Big Ones,MPEG audio file,Rock
61,Music,Aerosmith,7074167,Big Ones,MPEG audio file,Rock
62,Music,Aerosmith,7983270,Big Ones,MPEG audio file,Rock
63,90’s Music,Aerosmith,7983270,Big Ones,MPEG audio file,Rock
64,Music,Aerosmith,7983270,Big Ones,MPEG audio file,Rock
65,Music,Aerosmith,10402398,Big Ones,MPEG audio file,Rock
66,90’s Music,Aerosmith,10402398,Big Ones,MPEG audio file,Rock
67,Music,Aerosmith,10402398,Big Ones,MPEG audio file,Rock
68,Music,Aerosmith,8262039,Big Ones,MPEG audio file,Rock
69,90’s Music,Aerosmith,8262039,Big Ones,MPEG audio file,Rock
70,Music,Aerosmith,8262039,Big Ones,MPEG audio file,Rock
71,Music,Aerosmith,9989331,Big Ones,MPEG audio file,Rock
72,90’s Music,Aerosmith,9989331,Big Ones,MPEG audio file,Rock
73,Music,Aerosmith,9989331,Big Ones,MPEG audio file,Rock
74,Music,Aerosmith,12374569,Big Ones,MPEG audio file,Rock
75,90’s Music,Aerosmith,12374569,Big Ones,MPEG audio file,Rock
76,Music,Aerosmith,12374569,Big Ones,MPEG audio file,Rock
77,Music,Alanis Morissette,9375567,Jagged Little Pill,MPEG audio file,Rock
78,90’s Music,Alanis Morissette,9375567,Jagged Little Pill,MPEG audio file,Rock
79,Music,Alanis Morissette,9375567,Jagged Little Pill,MPEG audio file,Rock
80,Music,Alanis Morissette,8196916,Jagged Little Pill,MPEG audio file,Rock
81,90’s Music,Alanis Morissette,8196916,Jagged Little Pill,MPEG audio file,Rock
82,Music,Alanis Morissette,8196916,Jagged Little Pill,MPEG audio file,Rock
83,Music,Alanis Morissette,7224246,Jagged Little Pill,MPEG audio file,Rock
84,90’s Music,Alanis Morissette,7224246,Jagged Little Pill,MPEG audio file,Rock
85,Music,Alanis Morissette,7224246,Jagged Little Pill,MPEG audio file,Rock
86,Music,Alanis Morissette,9753256,Jagged Little Pill,MPEG audio file,Rock
87,90’s Music,Alanis Morissette,9753256,Jagged Little Pill,MPEG audio file,Rock
88,Music,Alanis Morissette,9753256,Jagged Little Pill,MPEG audio file,Rock
89,Music,Alanis Morissette,7824837,Jagged Little Pill,MPEG audio file,Rock
90,90’s Music,Alanis Morissette,7824837,Jagged Little Pill,MPEG audio file,Rock
91,Music,Alanis Morissette,7824837,Jagged Little Pill,MPEG audio file,Rock
92,Music,Alanis Morissette,8758008,Jagged Little Pill,MPEG audio file,Rock
93,90’s Music,Alanis Morissette,8758008,Jagged Little Pill,MPEG audio file,Rock
94,Music,Alanis Morissette,8758008,Jagged Little Pill,MPEG audio file,Rock
95,Music,Alanis Morissette,9163588,Jagged Little Pill,MPEG audio file,Rock
96,90’s Music,Alanis Morissette,9163588,Jagged Little Pill,MPEG audio file,Rock
97,Music,Alanis Morissette,9163588,Jagged Little Pill,MPEG audio file,Rock
98,Music,Alanis Morissette,7598866,Jagged Little Pill,MPEG audio file,Rock
99,90’s Music,Alanis Morissette,7598866,Jagged Little Pill,MPEG audio file,Rock
100,Music,Alanis Morissette,7598866,Jagged Little Pill,MPEG audio file,Rock
101,Music,Alanis Morissette,7604601,Jagged Little Pill,MPEG audio file,Rock
102,90’s Music,Alanis Morissette,7604601,Jagged Little Pill,MPEG audio file,Rock
103,Music,Alanis Morissette,7604601,Jagged Little Pill,MPEG audio file,Rock
104,Music,Alanis Morissette,9703359,Jagged Little Pill,MPEG audio file,Rock
105,90’s Music,Alanis Morissette,9703359,Jagged Little Pill,MPEG audio file,Rock
106,Music,Alanis Morissette,9703359,Jagged Little Pill,MPEG audio file,Rock
107,Music,Alanis Morissette,16008629,Jagged Little Pill,MPEG audio file,Rock
108,90’s Music,Alanis Morissette,16008629,Jagged Little Pill,MPEG audio file,Rock
109,Music,Alanis Morissette,16008629,Jagged Little Pill,MPEG audio file,Rock
110,Music,Alice In Chains,9310272,Facelift,MPEG audio file,Rock
111,90’s Music,Alice In Chains,9310272,Facelift,MPEG audio file,Rock
112,Music,Alice In Chains,9310272,Facelift,MPEG audio file,Rock
113,Grunge,Alice In Chains,9310272,Facelift,MPEG audio file,Rock
114,Music,Alice In Chains,11316328,Facelift,MPEG audio file,Rock
115,90’s Music,Alice In Chains,11316328,Facelift,MPEG audio file,Rock
116,Music,Alice In Chains,11316328,Facelift,MPEG audio file,Rock
117,Music,Alice In Chains,7847716,Facelift,MPEG audio file,Rock
118,90’s Music,Alice In Chains,7847716,Facelift,MPEG audio file,Rock
119,Music,Alice In Chains,7847716,Facelift,MPEG audio file,Rock
120,Music,Alice In Chains,7302550,Facelift,MPEG audio file,Rock
121,90’s Music,Alice In Chains,7302550,Facelift,MPEG audio file,Rock
122,Music,Alice In Chains,7302550,Facelift,MPEG audio file,Rock
123,Music,Alice In Chains,12575396,Facelift,MPEG audio file,Rock
124,90’s Music,Alice In Chains,12575396,Facelift,MPEG audio file,Rock
125,Music,Alice In Chains,12575396,Facelift,MPEG audio file,Rock
126,Music,Alice In Chains,8993793,Facelift,MPEG audio file,Rock
127,90’s Music,Alice In Chains,8993793,Facelift,MPEG audio file,Rock
128,Music,Alice In Chains,8993793,Facelift,MPEG audio file,Rock
129,Music,Alice In Chains,9216057,Facelift,MPEG audio file,Rock
130,90’s Music,Alice In Chains,9216057,Facelift,MPEG audio file,Rock
131,Music,Alice In Chains,9216057,Facelift,MPEG audio file,Rock
132,Music,Alice In Chains,11183647,Facelift,MPEG audio file,Rock
133,90’s Music,Alice In Chains,11183647,Facelift,MPEG audio file,Rock
134,Music,Alice In Chains,11183647,Facelift,MPEG audio file,Rock
